id,scientific_name,common_name,source,url,short_description
22,Russula maculata,Russula Maculata Quél.,wikipedia,https://en.wikipedia.org/wiki/Russula_maculata,"Russula maculata is a species of mushroom in the genus Russula. Its cap ranges from 4–10 centimetres wide, with hues varying from whitish to red. It is difficult to distinguish reliably and its edibility is unknown."
23,Russula puellula,Russula Puellula,,,
24,Russula laeta,Russula Laeta,wikipedia,https://en.wikipedia.org/wiki/Russula_laeta,Russula laeta is a brittle gill species that was first described by Julius Schäffer in 1952. This species is critically endangered in Belgium.
25,Russula insignis,Russula Insignis Quél.,,,
26,Agaricus bisporus,Agaricus Bisporus,wikipedia,https://en.wikipedia.org/wiki/Agaricus_bisporus,"Agaricus bisporus, commonly known as the cultivated mushroom, is a basidiomycete mushroom native to grasslands in Eurasia and North America. It is cultivated in more than 70 countries and is one of the most commonly and widely consumed mushrooms in the world. It has two color states while immature – white and brown – both of which have various names, with additional names for the mature state, such as chestnut, portobello, portabellini, button, cremini, and champignon de Paris."
27,Russula seperina,Russula Seperina Dupain,,,
28,Russula faustiana,Russula Faustiana Sarnari,,,
29,Clitocybe nitrophila,Clitocybe Nitrophila Bon,,,
30,Mycena clavicularis,Mycena Clavicularis,,,
31,Amanita lividopallescens,Amanita Lividopallescens,wikipedia,https://en.wikipedia.org/wiki/Amanita_lividopallescens,"Amanita lividopallescens, also known as the pale amanita, is a species of Amanita in Europe that grows near oaks."
32,Mycena aurantiomarginata,Mycena Aurantiomarginata,wikipedia,https://en.wikipedia.org/wiki/Mycena_aurantiomarginata,"Mycena aurantiomarginata, commonly known as the golden-edge bonnet, is a species of agaric fungus in the family Mycenaceae. First formally described in 1803, it was given its current name in 1872. Widely distributed, it is common in Europe and North America, and has also been collected in North Africa, Central America, and Japan. The fungus is saprobic, and produces fruit bodies (mushrooms) that grow on the floor of coniferous forests. The mushrooms have a bell-shaped to conical cap up to 2 cm in diameter, set atop a slender stipe up to 6 cm long with yellow to orange hairs at the base. The fungus is named after its characteristic bright orange gill edges. A microscopic characteristic is the club-shaped cystidia that are covered with numerous spiky projections, resembling a mace. The edibility of the mushroom has not been determined. M. aurantiomarginata can be distinguished from similar Mycena species by differences in size, color, and substrate. A 2010 publication reported the discovery and characterization of a novel pigment named mycenaaurin A, isolated from the mushroom. The pigment is responsible for its color, and it has antibiotic activity that may function to prevent…"
33,Russula aurea,Russula Aurea,wikipedia,https://en.wikipedia.org/wiki/Russula_aurea,"Russula aurea, commonly known as the gilded brittlegill, is an uncommon species of mushroom found in deciduous woodland in Europe in summer and early autumn. Unlike many red-capped members of the genus, it is edible and mild-tasting."
34,Russula farinipes,Russula Farinipes Romell,,,
35,Singerocybe phaeophthalma,Singerocybe Phaeophthalma,,,
36,Mycena capillaripes,Mycena Capillaripes Peck,,,
37,Russula vinosa,Russula Vinosa Lindblad,wikipedia,https://en.wikipedia.org/wiki/Russula_vinosa,"Russula vinosa, commonly known as the darkening brittlegill, is a species of basidiomycete mushroom found in coniferous woodlands in Europe and North America in summer and early autumn. Unlike many red-capped members of the russula genus, it is edible and mild-tasting. It is usually understood to have a symbiotic relationship with evergreen tree roots, except for in mountainous areas where it has occasionally associated with birches."
38,Russula pelargonia,Russula Pelargonia Niolle,,,
39,Russula acrifolia,Russula Acrifolia,wikipedia,https://en.wikipedia.org/wiki/Russula_acrifolia,"Russula acrifolia is a species of mushroom. Its cap is coloured grey to blackish-grey; the cap becomes red when it is injured, but then turns blackish-gray. It is edible and described as having an acrid taste. It grows on rich soils."
40,Russula roseoaurantia,Russula Roseoaurantia Sarnari,,,
41,Mycena vulgaris,Mycena Vulgaris,,,
42,Russula carpini,Russula Carpini,,,
43,Russula gracillima,Russula Gracillima,wikipedia,https://en.wikipedia.org/wiki/Russula_gracillima,"The mushroom Russula gracillima, commonly known as the slender brittlegill, is a member of the genus Russula, whose members are commonly known as brittlegills. It is a small, pale, long stemmed brittlegill associated mainly with birch and is occasional in Europe, Asia, and North America."
44,Russula subrubens,Russula Subrubens,,,
45,Russula melliolens,Russula Melliolens Quél.,,,
46,Mycena silvae-nigrae,Mycena Silvae-nigrae,,,
47,Russula curtipes,Russula Curtipes,,,
48,Mycena rosella,Mycena Rosella,wikipedia,https://en.wikipedia.org/wiki/Mycena_rosella,"Mycena rosella, commonly known as the pink bonnet, is a species of mushroom in the family Mycenaceae. First called Agaricus roseus by Swedish mycologist Elias Magnus Fries in 1794, it was assigned its current name in 1871 by German scientist Paul Kummer.Microscopic characteristics"
49,Agaricus bohusii,Agaricus Bohusii Bon,,,
50,Mycena erubescens,Mycena Erubescens Höhn.,,,
51,Russula luteotacta,Russula Luteotacta Rea,,,
52,Russula atrorubens,Russula Atrorubens Quél.,,,
53,Russula brunneoviolacea,Russula Brunneoviolacea Crawshay,,,
54,Mycena luteovariegata,Mycena Luteovariegata,,,
55,Russula viscida,Russula Viscida Kudřna,,,
56,Russula laccata,Russula Laccata Huijsman,,,
57,Russula sororia,Russula Sororia,,,
58,Agaricus brunneolus,Agaricus Brunneolus,,,
59,Agaricus cupreobrunneus,Agaricus Cupreobrunneus,wikipedia,https://en.wikipedia.org/wiki/Agaricus_cupreobrunneus,"Agaricus cupreobrunneus, commonly known as the copper mushrooom or brown field mushroom, is an edible mushroom of the genus Agaricus."
60,Agaricus crocodilinus,Agaricus Crocodilinus Murrill,wikipedia,https://en.wikipedia.org/wiki/Agaricus_crocodilinus,"Agaricus crocodilinus, commonly known as the crocodile agaricus or macro mushroom, is a species of mushroom in the family Agaricaceae."
61,Amanita franchetii,Amanita Franchetii,wikipedia,https://en.wikipedia.org/wiki/Amanita_franchetii,"Amanita franchetii, also known as Franchet's amanita, is a species of fungus in the family Amanitaceae."
62,Russula illota,Russula Illota,wikipedia,https://en.wikipedia.org/wiki/Russula_illota,Russula illota is an inedible species of mushroom in the genus Russula. It is commonly found in deciduous and coniferous forests on chalk.
63,Russula caerulea,Russula Caerulea,wikipedia,https://en.wikipedia.org/wiki/Russula_caerulea,"Russula caerulea, commonly known as the humpback brittlegill, is a member of the genus Russula, whose members are also known as brittlegills. It is a dark vinaceous or purple-colored edible mushroom, and grows with coniferous trees in late summer and autumn. It is found in Europe and North America."
64,Mycena belliae,Mycena Belliae,,,
65,Mycena juniperina,Mycena Juniperina Aronsen,,,
66,Russula cuprea,Russula Cuprea,,,
67,Russula grisea,Russula Grisea,,,
68,Infundibulicybe costata,Infundibulicybe Costata,,,
69,Mycena clavularis,Mycena Clavularis,,,
70,Amanita vaginata,Amanita Vaginata,wikipedia,https://en.wikipedia.org/wiki/Amanita_vaginata,"Amanita vaginata, commonly known as the grisette or the grisette amanita, is an edible mushroom in the fungus family Amanitaceae, but must be thoroughly cooked to destroy its toxins. The cap is gray or brownish, 5 to 10 centimetres in diameter, and has furrows around the edge that duplicate the gill pattern underneath. Unlike many other Amanita mushrooms, A. vaginata lacks a ring on the stem."
71,Mycena pterigena,Mycena Pterigena,,,
72,Mycena citrinomarginata,Mycena Citrinomarginata Gillet,,,
73,Clitocybe agrestis,Clitocybe Agrestis Harmaja,wikipedia,https://en.wikipedia.org/wiki/Clitocybe_agrestis,"Clitocybe agrestis is a species of agaric fungus. Widely distributed in Europe, it was described as new to science in 1969 by the Finnish mycologist Harri Harmaja. Fruitbodies are poisonous as they contain the toxin muscarine."
74,Agaricus litoralis,Agaricus Litoralis,wikipedia,https://en.wikipedia.org/wiki/Agaricus_litoralis,"Agaricus litoralis, also known as the coastal mushroom, is a species of mushroom in the genus Agaricus. It was first described by Wakefield and A. Pearson as Psalliota litoralis in 1946."
75,Russula faginea,Russula Faginea,,,
76,Mycena stylobates,Mycena Stylobates,wikipedia,https://en.wikipedia.org/wiki/Mycena_stylobates,"Mycena stylobates, commonly known as the bulbous bonnet, is a species of inedible mushroom in the family Mycenaceae. Found in North America and Europe, it produces small whitish to gray fruit bodies with bell-shaped caps that are up to 15 mm (0.6 in) in diameter. The distinguishing characteristic of the mushroom is the fragile stipe, which is seated on a flat disk marked with distinct grooves, and fringed with a row of bristles. The mushrooms grow in small troops on leaves and other debris of deciduous and coniferous trees. The mushroom's spores are white in deposit, smooth, and ellipsoid-shaped with dimensions of 6–10 by 3.5–4.5 μm. In the development of the fruit body, the preliminary stipe and cap structures appear at the same time within the primordium, and hyphae originating from the stipe form a cover over the developing structures. The mycelia of the mushroom is believed to have bioluminescent properties."
77,Mycena purpureofusca,Mycena Purpureofusca,wikipedia,https://en.wikipedia.org/wiki/Mycena_purpureofusca,"Mycena purpureofusca, commonly known as the purple edge bonnet, is a species of agaric fungus in the family Mycenaceae. First described by Charles Horton Peck in 1885, The mushroom is named for the characteristic dark greyish-purple color of its gill edges."
78,Russula pseudointegra,Russula Pseudointegra,wikipedia,https://en.wikipedia.org/wiki/Russula_pseudointegra,"Russula pseudointegra is an inedible, quite rare mushroom of the genus Russula, with a similar habitat and appearance to Russula rosea. Russula pseudointegra is distinguished by its hot tasting flesh."
79,Clitocybe vibecina,Clitocybe Vibecina,wikipedia,https://en.wikipedia.org/wiki/Clitocybe_vibecina,"Clitocybe vibecina is a common, inedible mushroom of the genus Clitocybe. It often grows in rings on needle litter, usually late in the year."
80,Agaricus subperonatus,Agaricus Subperonatus,,,
81,Agaricus moelleri,Agaricus Moelleri Wasser,wikipedia,https://en.wikipedia.org/wiki/Agaricus_moelleri,"Agaricus moelleri, commonly known as the inky mushroom, or dark scaled mushroom, is a large species of fungus in the genus Agaricus. It appears occasionally in most kinds of woodland, during late summer, in northern temperate zones."
82,Russula silvestris,Russula Silvestris,,,
83,Russula veternosa,Russula Veternosa,,,
84,Mycena chlorantha,Mycena Chlorantha,,,
85,Russula sanguinea,Russula Sanguinea,wikipedia,https://en.wikipedia.org/wiki/Russula_sanguinaria,"Russula sanguinaria, commonly known as the bloody brittlegill or rosey russula, is a strikingly coloured mushroom of the genus Russula, which has the common name of brittlegills. It is bright blood-red, inedible, and grows in association with coniferous trees. It was previously widely known as Russula sanguinea."
86,Russula odorata,Russula Odorata,,,
87,Mycena stipata,Mycena Stipata,,,
88,Mycena renati,Mycena Renati Quél.,wikipedia,https://en.wikipedia.org/wiki/Mycena_renati,"Mycena renati, commonly known as the beautiful bonnet, is a species of mushroom in the family Mycenaceae. It was described by French mycologist Lucien Quélet in 1886. It has been collected in Austria, Uşak Province in Western Turkey, and Yugoslavia."
89,Agaricus langei,Agaricus Langei,wikipedia,https://en.wikipedia.org/wiki/Agaricus_langei,Agaricus langei is a species of fungus in the genus Agaricus.
90,Russula integra,Russula Integra,wikipedia,https://en.wikipedia.org/wiki/Russula_integra,"Russula integra, commonly known as the entire russula, is a species of mushroom. The fungus stems from the huge genus of Russula. It is found in conifer forests across Europe and throughout North America."
91,Mycena amicta,Mycena Amicta,wikipedia,https://en.wikipedia.org/wiki/Mycena_amicta,"Mycena amicta, commonly known as the coldfoot bonnet, is a species of mushroom in the family Mycenaceae. It was first described in 1821 by mycologist Elias Magnus Fries."
92,Mycena cinerella,Mycena Cinerella,wikipedia,https://en.wikipedia.org/wiki/Mycena_cinerella,"Mycena cinerella, commonly known as the mealy bonnet, is an inedible species of mushroom in the family Mycenaceae. It is found in Europe and the United States, where it grows in groups on fallen leaves and needles under pine and Douglas fir. The small grayish mushrooms have caps that are up to 1.5 cm (0.6 in) wide atop stipes that are 5 cm (2.0 in) long and 2.5 mm (0.10 in) thick. Its gills are grayish-white and adnate, with a ""tooth"" that runs slightly down the stipe. The fungus has both two- and four-spored basidia. As its common name suggests, it smells mealy."
93,Russula adusta,Russula Adusta,wikipedia,https://en.wikipedia.org/wiki/Russula_adusta,"Russula adusta, commonly known as the blackening brittlegill or blackening russula, is a species of gilled mushroom. It is a member of the Russula subgenus Compactae. The cap is brown to gray and somewhat shiny, with a mild taste and, reportedly, an odor of empty wine barrels. It has a propensity to turn black from cutting or bruising and has white spores. Similar species include Russula albonigra and R. densifolia."
94,Amanita submembranacea,Amanita Submembranacea,wikipedia,https://en.wikipedia.org/wiki/Amanita_submembranacea,Amanita submembranacea is a species of fungus belonging to the family Amanitaceae.
95,Russula decolorans,Russula Decolorans,wikipedia,https://en.wikipedia.org/wiki/Russula_decolorans,"Russula decolorans, commonly known as the graying russula, is a Russula mushroom found in forests. Although edible, it resembles several questionable species."
96,Boletus pinophilus,Boletus Pinophilus,wikipedia,https://en.wikipedia.org/wiki/Boletus_pinophilus,"Boletus pinophilus, commonly known as the pine bolete or pinewood king bolete, is a basidiomycete fungus of the genus Boletus found throughout Europe and western Asia. Described by Italian naturalist Carlo Vittadini in 1835, B. pinophilus was for many years considered a subspecies or form of the porcini mushroom B. edulis before genetic studies confirmed its distinct status. In 2008, B. pinophilus in western North America were reclassified as a new species, B. rex-veris. B. pinophilus is edible, and may be preserved and cooked."
97,Russula delica,Russula Delica,wikipedia,https://en.wikipedia.org/wiki/Russula_delica,"Russula delica is a mushroom that goes by the common name of milk-white brittlegill, and is a member of the genus Russula, all of which are collectively known as brittlegills. It is mostly white, with ochraceous or brownish cap markings, and a short robust stem. It is edible, but poor in taste, and grows in coniferous, broadleaved, or mixed woods. It can be confused with other white Russula species and certain white Lactarius species."
98,Russula puellaris,Russula Puellaris,,,
99,Russula graveolens,Russula Graveolens Romell,wikipedia,https://en.wikipedia.org/wiki/Russula_graveolens,Russula graveolens is an edible species of fungus in the genus Russula. The species was first officially described by Swedish mycologist Lars Romell in 1893.
100,Mycena flavescens,Mycena Flavescens,wikipedia,https://en.wikipedia.org/wiki/Mycena_flavescens,"Mycena flavescens is a species of Mycenaceae fungus. It was first described scientifically by the Czech mycologist Josef Velenovský in 1920, based on specimens collected in Mnichovice in 1915. The mushroom is edible."
101,Agaricus dulcidulus,Agaricus Dulcidulus Schulzer,wikipedia,https://en.wikipedia.org/wiki/Agaricus_dulcidulus,"Agaricus dulcidulus is a small mushroom in the family Agaricaceae of the order Agaricales, found in deciduous woodlands of Europe, but also recorded in North America, North Africa and Asia. The English name is rosy wood mushroom. Despite the tendency of some sources to synonymize it with Agaricus semotus, this is a distinct taxon."
102,Russula romellii,Russula Romellii Maire,,,
103,Russula ionochlora,Russula Ionochlora,,,
104,Amanita crocea,Amanita Crocea,wikipedia,https://en.wikipedia.org/wiki/Amanita_crocea,"Amanita crocea, the saffron ringless amanita, is a species of Amanita widely distributed in Europe. It is edible but not recommended for consumption due to its similarity to poisonous species of the genus."
105,Amanita ceciliae,Amanita Ceciliae,wikipedia,https://en.wikipedia.org/wiki/Amanita_ceciliae,"Amanita ceciliae, commonly called snakeskin grisette, strangulated amanita, and the Cecilia's ringless amanita, is a basidiomycete fungus in the genus Amanita. First described in 1854 by Miles Joseph Berkeley and Christopher Edmund Broome, it was given its current name by Cornelis Bas in 1984. It is characterized by bearing a large fruit body with a brown cap 5–12 cm (2.0–4.7 in) across. The cap has charcoal-grey patches, which are easily removable. The stipe is 7–18 cm (2.8–7.1 in) long, white in colour, and there is no ring on it. It is slightly tapered to the top and has irregular cottony bands girdling the base. The universal veil is grey. Spores are white, spherical in shape, non-amyloid, and measure 10.2–11.7 micrometres. The mushrooms are considered edible, but field guides typically advise caution in selecting them for consumption, due to risks of confusion with similar toxic species. A. ceciliae is found in woods throughout Europe and North America, where it fruits during summer and autumn."
106,Russula versicolor,Russula Versicolor,wikipedia,https://en.wikipedia.org/wiki/Russula_versicolor,Russula versicolor is a mushroom in the genus Russula. It is considered inedible.
107,Russula nauseosa,Russula Nauseosa,,,
108,Mycena zephirus,Mycena Zephirus,wikipedia,https://en.wikipedia.org/wiki/Mycena_zephirus,Mycena zephirus is a species of agaric fungus in the family Mycenaceae. It is bioluminescent.
109,Russula velutipes,Russula Velutipes,,,
110,Russula sardonia,Russula Sardonia,wikipedia,https://en.wikipedia.org/wiki/Russula_sardonia,"Russula sardonia, commonly known as the primrose brittlegill, is a mushroom of the genus Russula, which are commonly known as brittlegills. The fruiting body, or mushroom, is a reddish-purple, the colour of blackberry juice, and is found in coniferous woodland in summer and autumn. It is inedible, and like many inedible members of the genus, has a hot, peppery taste."
111,Mycena filopes,Mycena Filopes,,,
112,Mycena abramsii,Mycena Abramsii,,,
113,Agaricus bernardii,Agaricus Bernardii,wikipedia,https://en.wikipedia.org/wiki/Agaricus_bernardii,"Agaricus bernardii, commonly called the salt-loving agaricus, or salty mushroom, is an agaric fungus in the family Agaricaceae. The mushroom's thick stem is usually shorter than the diameter of the cap, which ranges from 5–15 centimetres and is convex to flattened. The cap surface is whitish to buff, and can develop scales or warts in age. The gills are initially pink before turning brown when the spores mature. The flesh turns reddish when it is cut or bruised. It resembles species such as A. bitorquis."
114,Russula nitida,Russula Nitida,,,
115,Mycena rubromarginata,Mycena Rubromarginata,,,
116,Russula densifolia,Russula Densifolia,wikipedia,https://en.wikipedia.org/wiki/Russula_densifolia,"Russula densifolia, commonly known as the crowded russula or the reddening russula, is a species of agaric fungus in the family Russulaceae. It was first described in 1833 and given its current name in 1876."
117,Mycena meliigena,Mycena Meliigena,,,
118,Russula amoenolens,Russula Amoenolens,wikipedia,https://en.wikipedia.org/wiki/Russula_amoenolens,"Russula amoenolens, also known by its common name camembert brittlegill, is a member of the genus Russula. The species has a greyish-brown cap, with clear scoring along the edge. While inedible, the mushroom is known for its distinctive smell like camembert cheese. The mushroom often appears under oak trees from summer to autumn."
119,Russula parazurea,Russula Parazurea,,,
120,Russula betularum,Russula Betularum Hora,wikipedia,https://en.wikipedia.org/wiki/Russula_betularum,"Russula betularum is a small, very pale member of the Russula (brittlegills) genus of mushrooms. It is usually white to very pale pink, inedible, and grows with birch trees. It is commonly known as the birch brittlegill."
121,Russula emetica,Russula Emetica,wikipedia,https://en.wikipedia.org/wiki/Russula_emetica,"Russula emetica, commonly known as the sickener, emetic russula, or vomiting russula, is a basidiomycete mushroom, and the type species of the genus Russula. It was first described in 1774."
122,Agaricus sylvaticus,Agaricus Sylvaticus,wikipedia,https://en.wikipedia.org/wiki/Agaricus_silvaticus,"Agaricus silvaticus, otherwise known as the scaly wood mushroom, blushing wood mushroom, or pinewood mushroom, is a species of mushroom often found in groups in coniferous forests from early summer, or September through to November in Europe, North Africa and North America."
123,Agaricus essettei,Agaricus Essettei Bon,,,
124,Russula heterophylla,Russula Heterophylla,wikipedia,https://en.wikipedia.org/wiki/Russula_heterophylla,"The edible wild mushroom Russula heterophylla, that has lately been given the common name of the greasy green brittlegill is placed in the genus Russula, the members of which are mostly known as brittlegills. It is a variably colored mushroom, found in deciduous forests, and woods in Britain, Europe, and Scandinavia. Appearing with broad-leaved trees in summer to early autumn, it usually has a greenish coloration."
125,Mycena acicula,Mycena Acicula,wikipedia,https://en.wikipedia.org/wiki/Mycena_acicula,"Mycena acicula, commonly known as the orange bonnet, or the coral spring Mycena, is a species of fungus in the family Mycenaceae."
126,Russula cessans,Russula Cessans,,,
127,Russula velenovskyi,Russula Velenovskyi,,,
128,Clitocybe phyllophila,Clitocybe Phyllophila,inat->wikipedia,https://en.wikipedia.org/wiki/Collybia_phyllophila,"Collybia phyllophila, commonly known as the frosty funnel or the leaf-loving clitocybe, is a fungus in the family Tricholomataceae. Its epithet, meaning leaf-loving comes from its preference for leaf litter. It is common among forests in the Northern Hemisphere, and is poisonous."
129,Russula grata,Russula Grata,wikipedia,https://en.wikipedia.org/wiki/Russula_grata,Russula grata is a species of fungus belonging to the family Russulaceae.
130,Russula risigallina,Russula Risigallina,wikipedia,https://en.wikipedia.org/wiki/Russula_risigallina,"Russula risigallina is a species of mushroom. It was previously known as R. chamaeleontina. It is a small yellow russula that is edible and good-tasting, although identifying the species correctly can be difficult. This mushroom can be found in various countries throughout Europe."
131,Mycena olivaceomarginata,Mycena Olivaceomarginata,wikipedia,https://en.wikipedia.org/wiki/Mycena_olivaceomarginata,"Mycena olivaceomarginata is a species of agaric fungus in the family Mycenaceae. Originally described as Agaricus olivaceomarginata by English mycologist George Edward Massee in 1890, he transferred it to Mycena in 1893. Found in Europe and North America, the mycelium of the fungus is bioluminescent."
132,Clitocybe rivulosa,Clitocybe Rivulosa,wikipedia,https://en.wikipedia.org/wiki/Clitocybe_rivulosa,"Clitocybe rivulosa, commonly known as the false champignon or fool's funnel, is a poisonous basidiomycete fungus of the large genus Clitocybe. One of several species similar in appearance, it is a small white funnel-shaped toadstool widely found in lawns, meadows and other grassy areas in Europe and North America. Also known as the sweating mushroom, it derives this name from the symptoms of poisoning. It contains potentially deadly levels of muscarine."
133,Clitocybe odora,Clitocybe Odora,wikipedia,https://en.wikipedia.org/wiki/Clitocybe_odora,"Clitocybe odora, commonly known as the blue green anise mushroom, or aniseed toadstool, is a blue-green mushroom that smells strongly like anise. It grows near deciduous and coniferous trees, in small groups alongside tree roots. This mushroom is edible but may resemble poisonous species."
134,Amanita gemmata,Amanita Gemmata,wikipedia,https://en.wikipedia.org/wiki/Amanita_gemmata,"Amanita gemmata, commonly known as the gemmed amanita or the jonquil amanita, is an agaric mushroom of the family Amanitaceae and genus Amanita. The fruit body has a cap that is a dull to golden shade of yellow, and typically 2.5–12 centimetres in diameter. The cap surface is sticky when moist, and characterized by white warts, which are easily detached. It is initially convex, and flattens out when mature. The flesh is white and does not change colour when cut. The gills are white and closely spaced. The stem is pale yellow, and measures 4–12 cm long by 0.5–1.9 cm thick. The partial veil that covers the young fruit body turns into the ring on the stem at maturity. The spore print is white. It resembles numerous other species."
135,Russula fellea,Russula Fellea,wikipedia,https://en.wikipedia.org/wiki/Russula_fellea,"The mushroom Russula fellea goes by the common name of the geranium-scented russula, or bitter russula and is a member of the genus Russula, all of which are commonly known as brittlegills. It is straw or honey coloured and in Britain grows in beech woods during autumn. It is inedible."
136,Russula aeruginea,Russula Aeruginea,wikipedia,https://en.wikipedia.org/wiki/Russula_aeruginea,"Russula aeruginea, also known as the grass-green russula, the tacky green russula, or the green russula, is an edible Russula mushroom. Widely distributed in northern temperate regions, it is usually found under birch, mostly in pine forests."
137,Mycena tenerrima,Mycena Tenerrima,wikipedia,https://en.wikipedia.org/wiki/Mycena_adscendens,"Mycena adscendens, commonly known as the frosty bonnet, is a species of fungus in the family Mycenaceae. The fungus produces small white fruit bodies (mushrooms) with caps up to 7.5 mm (0.3 in) in diameter that appear to be dusted with sugar-like granules. Caps are supported by thin, hollow stems up to 20 mm (0.8 in) long, which are set on a disc-like base. Its distribution includes Europe, Turkey and the Pacific coast of the United States. The fruit bodies grow on fallen twigs and other woody debris on the forest floor, including fallen hazel nuts. The variety carpophila is known from Japan. There are several small white Mycena species that are similar in appearance to M. adscendens, some of which can be reliably distinguished only by examining microscopic characteristics."
138,Russula virescens,Russula Virescens,wikipedia,https://en.wikipedia.org/wiki/Russula_virescens,"Russula virescens is a basidiomycete mushroom of the genus Russula, and is commonly known as the green-cracking russula, the quilted green russula, or the green brittlegill. The species was described as new to science in 1774 by Jacob Christian Schaeffer. It can be recognized by its distinctive pale green cap that measures up to 15 cm (6 in) in diameter, the surface of which is covered with darker green angular patches. It has crowded white gills, and a firm, white stipe that is up to 8 cm (3 in) tall and 4 cm (1.6 in) thick. It resembles species such as Russula parvovirescens and R. crustosa."
139,Mycena arcangeliana,Mycena Arcangeliana,wikipedia,https://en.wikipedia.org/wiki/Mycena_arcangeliana,"Mycena arcangeliana is a species of Mycenaceae fungus. It has been known by a number of scientific names, and its taxonomy is still somewhat disputed. It produces small mushrooms with caps varying in colour from whitish to a darker grey-brown, and stems of an olive-greyish that fade with age. The mushrooms can be mistaken for the similar Mycena flavescens. They have a mild taste, but a strong smell of iodoform; they are not edible. The species grows on dead wood in autumn months, and can be found throughout Europe."
140,Russula chloroides,Russula Chloroides,,,
141,Russula mairei,Russula Mairei Singer,wikipedia,https://en.wikipedia.org/wiki/Russula_nobilis,"Formerly Russula mairei (Singer), and commonly known as the beechwood sickener, the now re-classified fungus Russula nobilis (Velen.) is a basidiomycete mushroom of the genus Russula. This group of mushrooms are noted for their brittle gills and bright colours."
142,Mycena metata,Mycena Metata,wikipedia,https://en.wikipedia.org/wiki/Mycena_metata,Mycena metata is a species of fungus in the family Mycenaceae found in Europe. It is inedible.
143,Russula fragilis,Russula Fragilis,wikipedia,https://en.wikipedia.org/wiki/Russula_fragilis,"Russula fragilis, commonly known as the fragile russula, or fragile brittlegill, is a species of mushroom of the genus Russula, whose members are commonly known as brittlegills."
144,Mycena aetites,Mycena Aetites,wikipedia,https://en.wikipedia.org/wiki/Mycena_aetites,"Mycena aetites, commonly known as the drab bonnet, is a species of mushroom in the family Mycenaceae. First described as Agaricus aetites by Swedish mycologist Elias Magnus Fries in 1838, it was assigned its current name in 1872 by Lucien Quélet. This rare mushroom is found in Europe."
145,Clitocybe nebularis,Clitocybe Nebularis,wikipedia,https://en.wikipedia.org/wiki/Clitocybe_nebularis,"Clitocybe nebularis or Lepista nebularis, commonly known as the clouded agaric, cloudy clitocybe, or cloud funnel, is an abundant gilled fungus which appears both in conifer-dominated forests and broad-leaved woodland in Europe and North America. Appearing in Britain from mid to late autumn, it is edible, but may cause gastrointestinal issues."
