id,scientific_name,common_name,source,url,short_description,verdict,reason,action
15,Ceroplastes rusci,Fig wax scale,nan,nan,"Fig wax scale, small oval insect with waxy, yellow-brown covering.",match,Scientific name and common name match exactly.,used_fixed_for_empty_match
16,Chionaspis pinifoliae,Pine needle scale,wikipedia,https://en.wikipedia.org/wiki/Chionaspis_pinifoliae,"Chionaspis pinifoliae, the pine needle scale insect, is a common species of scale insect found on pine, spruce and other conifers across Canada and throughout the United States. The species is particularly persistent on planted spruce in the Prairie Provinces in both rural and urban settings. In heavy populations, the needles may appear to be flecked with white. The insect overwinters in the egg stage under the white covering of the scale. In Saskatchewan, hatching dates vary from late May to late June. In the Mid-Atlantic region of the United States there can be one or two generations per year and the first generation hatches after an average of 210 growing degree-days. The newly hatched “crawlers” disperse, settle on old or new needles and begin scale development.",match,The provided description aligns with the visual characteristics of Chionaspis pinifoliae.,kept_original
17,Choristoneura fumiferana,Eastern spruce budworm,wikipedia,https://en.wikipedia.org/wiki/Choristoneura_fumiferana,"Choristoneura fumiferana, the eastern spruce budworm, is a species of moth of the family Tortricidae native to the eastern United States and Canada. The caterpillars feed on the needles of spruce and fir trees. Eastern spruce budworm populations can experience significant oscillations, with large outbreaks sometimes resulting in wide scale tree mortality. The first recorded outbreaks of the spruce budworm in the United States occurred in about 1807, and since 1909 there have been waves of budworm outbreaks throughout the eastern United States and Canada. In Canada, the major outbreaks occurred in periods circa 1910–20, c. 1940–50, and c. 1970–80, each of which impacted millions of hectares of forest. Longer-term tree-ring studies suggest that spruce budworm outbreaks have been recurring approximately every three decades since the 16th century, and paleoecological studies suggest the spruce budworm has been breaking out in eastern North America for thousands of years.",match,The existing description aligns with visual cues.,kept_original
18,Conotrachelus,True weevils,wikipedia,https://en.wikipedia.org/wiki/Conotrachelus,no description available,mismatch,Different genus and family.,replaced_mismatch_or_empty
19,Contarinia sorghicola,Sorghum midge,wikipedia,https://en.wikipedia.org/wiki/Stenodiplosis_sorghicola,"Stenodiplosis sorghicola, the sorghum midge, is a species of gall midge in the family Cecidomyiidae. It is a pest of millets. The species is native to Africa and is also found in India. During the rainy season, it feeds on the developing grains of pearl millet plants.",match,Scientific names match.,kept_original
20,Coptotermes spp.,Termites (some species),nan,nan,"Large butterfly with black and white wings, orange spots on forewings, long black antennae.",match,Scientific name and common name match exactly.,used_fixed_for_empty_match
21,Cryptophlebia leucotreta,False codling moth (FCM),nan,nan,"Needles in clusters of 2-3, scale-like, dark green, conical crown.",match,Scientific name and common name match exactly.,used_fixed_for_empty_match
22,Cryptorrhynchus lapathi,"Poplar and willow borer, osier weevil, willow weevil",nan,nan,"Small dark beetle with elongated body, brownish-black in color, elytra with distinct longitudinal ridges.",match,,used_fixed_for_empty_match
23,Ctenopseustis obliquana,"Brownheaded leafroller, blackheaded leafroller",wikipedia,https://en.wikipedia.org/wiki/Ctenopseustis_obliquana,"Ctenopseustis obliquana, brownheaded leafroller, has a brown head and pale green body. Wings are light brown with dark markings.",mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
24,Curculio elephas,"Chestnut weevil, European chestnut weevil, chestnut beetle",wikipedia,https://en.wikipedia.org/wiki/Curculio_elephas,"Curculio elephas is a species of beetle in the family Curculionidae, the true weevils. It is known commonly as the chestnut weevil. It is a serious pest of chestnut in Europe.",match,Content matches exactly.,kept_original
25,Deudorix isocrates,Common guava blue,wikipedia,https://en.wikipedia.org/wiki/Deudorix_isocrates,Color: Blue with black markings. Size: Small to medium. Wingspan: About 25-30mm. Patterns: Distinctive black spots along the edges of the wings.,error,,replaced_mismatch_or_empty
26,Diabrotica,Cucumber beetle or corn rootworm,wikipedia,https://en.wikipedia.org/wiki/Diabrotica,"Quercus robur: large deciduous tree with broad, spreading canopy; leaves are alternate, lobed with bristle-tipped teeth; acorns in clusters.",mismatch,Original description does not match visual-only requirement.,replaced_mismatch_or_empty
27,Diaphania nitidalis,Pickleworm,wikipedia,https://en.wikipedia.org/wiki/Diaphania_nitidalis,no description available,mismatch,No visual-only description available.,replaced_mismatch_or_empty
28,Diaprepes abbreviata,Diaprepes root weevil or citrus weevil,nan,nan,"Small rodent, gray to brown fur, long tail, pointed snout.",match,Scientific name and common name match exactly.,used_fixed_for_empty_match
29,Diatraea saccharalis,Sugarcane borer or sugarcane stalk borer,wikipedia,https://en.wikipedia.org/wiki/Diatraea_saccharalis,no description available,error,,replaced_mismatch_or_empty
30,Dryocoetes confusus,Western balsam bark beetle,nan,nan,"Black with yellow markings, small, cylindrical body, length about 3mm.",match,,used_fixed_for_empty_match
31,Eriosoma lanigerum,Woolly aphid,wikipedia,https://en.wikipedia.org/wiki/Eriosoma_lanigerum,"Yellow and black banded, social bee. Hairy thorax and abdomen. Wings two pairs.",mismatch,Visual-only description required.,replaced_mismatch_or_empty
32,Eulecanium gigantea,Eulecanium gigantea,nan,nan,"Large, brown scale insect with distinct white markings on back.",match,,used_fixed_for_empty_match
33,Gonipterus scutellatus,Eucalyptus snout beetle,wikipedia,https://en.wikipedia.org/wiki/Gonipterus_scutellatus,Drosophila melanogaster is a small fly with reddish eyes and a length of about 3-4 mm. Its body is grayish-black with distinct stripes.,mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
34,Helicoverpa zea,Corn earworm,wikipedia,https://en.wikipedia.org/wiki/Helicoverpa_zea,no description available,mismatch,Original description includes non-visual information.,replaced_mismatch_or_empty
35,Hemerocampa leucostigma,Whitemarked tussock moth,wikipedia,https://en.wikipedia.org/wiki/Orgyia_leucostigma,"Orgyia leucostigma, the white-marked tussock moth, is a moth in the family Erebidae. The species was first described by James Edward Smith in 1797. The caterpillar is very common especially in late summer in eastern North America, extending as far west as Texas, California, and Alberta.",match,Scientific names match.,kept_original
36,Hoplocerambyx spinicornis,Sal borer,nan,nan,no description available,mismatch,Different species,replaced_mismatch_or_empty
37,Hylobius pales,Pales weevil,wikipedia,https://en.wikipedia.org/wiki/Hylobius_pales,no description available,mismatch,Different content,replaced_mismatch_or_empty
38,Hylotrupes bajulus,House longhorn beetle,wikipedia,https://en.wikipedia.org/wiki/Hylotrupes,no description available,mismatch,Too much non-visual information.,replaced_mismatch_or_empty
39,Hylurgus ligniperda,Red-haired pine bark beetle,nan,nan,no description available,empty,No existing short_description.,replaced_mismatch_or_empty
40,Hyphantria cunea,Fall webworm,wikipedia,https://en.wikipedia.org/wiki/Fall_webworm,"The fall webworm is a moth in the family Erebidae known principally for its larval stage, which creates the characteristic webbed nests on the tree limbs of a wide variety of hardwoods in the late summer and fall. It is considered a pest but does not harm otherwise healthy trees. It is well known to commercial tree services and arboriculturists. Fall webworms are an invasive species in East Asia.",match,,kept_original
41,Incisitermes minor,Western drywood termite,wikipedia,https://en.wikipedia.org/wiki/Incisitermes_minor,Insufficient data for visual description.,mismatch,Insufficient data for visual description.,replaced_mismatch_or_empty
42,Leptinotarsa decemlineata,Colorado potato beetle,wikipedia,https://en.wikipedia.org/wiki/Colorado_potato_beetle,A small to medium-sized feline with soft fur and a distinctive tail with a black tip.,mismatch,Different species,replaced_mismatch_or_empty
43,Liriomyza trifolii,American serpentine leafminer or celery leafminer,wikipedia,https://en.wikipedia.org/wiki/Liriomyza_trifolii,"Liriomyza trifolii, known generally as the American serpentine leafminer or celery leafminer, is a species of leaf miner fly in the family Agromyzidae.",match,Content matches exactly.,kept_original
44,Lissorhoptrus oryzophilus,Rice water weevil,wikipedia,https://en.wikipedia.org/wiki/Lissorhoptrus_oryzophilus,"Lissorhoptrus oryzophilus is a small beetle with a long snout, dark body, and light markings on the elytra. Size: about 6-8mm.",mismatch,Scientific name and visual description mismatch.,replaced_mismatch_or_empty
45,Listronotus bonariensis,Argentine stem weevil or wheat weevil,wikipedia,https://en.wikipedia.org/wiki/Listronotus_bonariensis,"Tribolium castaneum is a small, reddish-brown beetle with a flattened body shape. Adults are about 4-5 mm long.",mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
46,Lobesia botrana,European grapevine moth or European grape worm,wikipedia,https://en.wikipedia.org/wiki/Lobesia_botrana,"Lobesia botrana, the European grapevine moth or European grape worm, is a moth of the family Tortricidae.",match,Exact match,kept_original
47,Monochamus spp.,Sawyer beetles or sawyers1,nan,nan,"Large, dark-colored beetle with distinct white or yellow markings along the edge of the elytra. Length: 15-20mm.",match,Exact match on scientific name and description.,used_fixed_for_empty_match
48,Naupactus leucoloma,Whitefringed beetle,wikipedia,https://en.wikipedia.org/wiki/Naupactus_leucoloma,Naupactus leucoloma is a species of broad-nosed weevil in the beetle family Curculionidae.,match,Content matches exactly.,kept_original
49,Neoclytus acuminatus,Red-headed ash borer,wikipedia,https://en.wikipedia.org/wiki/Neoclytus_acuminatus,"Red-headed ash borer, Neoclytus acuminatus, reddish head, black body, 10mm long, cylindrical.",mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
50,Opogona sacchari,Banana moth,wikipedia,https://en.wikipedia.org/wiki/Opogona_sacchari,"Opogona sacchari, the banana moth, is a moth of the family Tineidae. The species was first described by Wenceslas Bojer in 1856. It is native to the humid tropical and subtropical regions of sub-Saharan Africa, where it is also found in Madagascar, Mauritius, Réunion, Rodrigues Island, the Seychelles and St. Helena. It was first reported from the Canary Islands in the 1920s. In the 1970s, it was introduced into Brazil and Central America, and also appeared in Europe. It has been reported from Florida since 1986.",match,Original description is visual-only.,kept_original
51,Pantomorus cervinus,Fuller’s rose beetle,nan,nan,"Gram-negative, rod-shaped bacterium, yellow colonies on agar.",match,,used_fixed_for_empty_match
52,Pharaxonotha kirschi,Mexican grain beetle or pleasing fungus beetle,inat->wikipedia,http://en.wikipedia.org/wiki/Pharaxonotha_kirschii,Tetrao urogallus is a species of grouse in the family Phasianidae. It is found in Europe and parts of Asia.,mismatch,Incorrect common name and family.,replaced_mismatch_or_empty
53,Phoracantha semipunctata,Australian Eucalyptus longhorn or eucalyptus longhorned borer,wikipedia,https://en.wikipedia.org/wiki/Phoracantha_semipunctata,"Dendroctonus valens, the mountain pine beetle, is a species of bark beetle in the family Scolytidae. It has a brown body with elytra marked with distinct patterns.",mismatch,Existing description includes non-visual information and range details.,replaced_mismatch_or_empty
54,Pissodes,Weevils,wikipedia,https://en.wikipedia.org/wiki/Pissodes,no description available,empty,Cannot provide a visual-only description without violating the rules.,replaced_mismatch_or_empty
55,Planococ,Planococcus minor,inat->wikipedia,https://en.wikipedia.org/wiki/Planococcus,"Tiny bug, oval, light to dark brown, waxy coating, less than 1mm.",mismatch,Different genus and family.,replaced_mismatch_or_empty
56,Planococcus lilacius,Lilac mealybug,nan,nan,Twining vine with compound leaves and small flowers in clusters.,match,Exact match on common name and description.,used_fixed_for_empty_match
57,Popillia japonica,Japanese beetle,wikipedia,https://en.wikipedia.org/wiki/Japanese_beetle,"The Japanese beetle is a species of scarab beetle. Due to the presence of natural predators, the Japanese beetle is not considered a pest in its native Japan, but in North America and some regions of Europe, it is a noted pest to roughly 300 species of plants. Some of these plants include roses, grapes, hops, canna, crape myrtles, birch trees, linden trees, and others.",match,,kept_original
58,Prays citri,Citrus blossom moth or Citrus young fruit borer,nan,nan,Large butterfly with black wings and bright orange tips on forewings; wingspan about 80mm.,mismatch,Common name mismatch.,replaced_mismatch_or_empty
59,Ptinus tectus,Australian Spider Beetle,wikipedia,https://en.wikipedia.org/wiki/Ptinus_tectus,"Small to medium-sized, black and brown striped bee. Produces honey and lives in colonies.",mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
60,Reticulitermes lucifugus,Reticulitermes lucifugus,wikipedia,https://en.wikipedia.org/wiki/Reticulitermes_lucifugus,no description available,mismatch,Description includes non-visual information.,replaced_mismatch_or_empty
61,Rhagoletis spp.,Rhagoletis spp.,nan,nan,"Large butterfly with bright orange wings tipped in black, white markings on forewings, about 75 mm wingspan.",mismatch,Different species (Papilio machaon vs Lymantria dispar).,replaced_mismatch_or_empty
62,Saperda spp.,Saperda spp.,nan,nan,"Small, green caterpillar with four white stripes along the back.",match,,used_fixed_for_empty_match
63,Scyphophorus acupunctatus,Scyphophorus acupunctatus,wikipedia,https://en.wikipedia.org/wiki/Scyphophorus_acupunctatus,"Scyphophorus acupunctatus, the sisal weevil or agave weevil, is a species of polyphaga beetle of the family of the Curculionidae. Sisal weevil larvae, known as picudo del agave or ""nixtamal worms"", are a traditional food in parts of Mexico.",match,,kept_original
64,Sirex noctilio,Sirex woodwasp,wikipedia,https://en.wikipedia.org/wiki/Sirex_noctilio,"Tetrao urogallus, the black grouse, has a black plumage with white patches on the wings and a long, feathered tail.",mismatch,Existing description lacks visual details.,replaced_mismatch_or_empty
65,Solenopsis invicta,Red imported fire ant,wikipedia,https://en.wikipedia.org/wiki/Red_imported_fire_ant,"Red imported fire ant, Solenopsis invicta, is reddish-brown with a node between thorax and abdomen. Workers are small to medium-sized, about 2-6 mm long.",mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
66,Spodoptera littoralis,Egyptian cotton leafworm moth or Mediterranean Brocade moth,wikipedia,https://en.wikipedia.org/wiki/Spodoptera_littoralis,No description available.,mismatch,Visual description required.,replaced_mismatch_or_empty
67,Stathmopoda skelloni,Skellon’s stathmopodid moth,wikipedia,https://en.wikipedia.org/wiki/Stathmopoda_skelloni,"small to medium-sized moth with a wingspan of approximately 20-25mm. Forewings brownish-grey with distinct white markings, hindwings pale grey. Long, slender antennae. Distinctive tuft of hair-like scales at the end of its abdomen.",mismatch,Different physical characteristics described.,replaced_mismatch_or_empty
68,Taeniothrips inconsequens,Western flower thrips or Onion thrips,nan,nan,"Small, slender thrips with dark brown body, pale yellow legs, and fringed wings.",match,,used_fixed_for_empty_match
69,Tetropium spp.,Tetropium spp.,nan,nan,"Large male bird, brown with white patches, long tail, red wattles, and blue facial skin.",mismatch,Different species and type of bird.,replaced_mismatch_or_empty
70,Thaumetopoea pityocampa,Pine processionary moth or Thaumetopoea pityocampa (TPM),wikipedia,https://en.wikipedia.org/wiki/Pine_processionary,"The pine processionary is a moth of the subfamily Thaumetopoeinae in the family Notodontidae, known for the irritating hairs of its caterpillars, their processions, and the economic damage they cause in coniferous forests. The species was first described scientifically by Michael Denis and Ignaz Schiffermüller in 1775, though it was known to the ancients, with remedies described by Theophrastus, Dioscorides and Pliny the Elder. Its processionary behaviour was described in 1916 by the French entomologist Jean-Henri Fabre. It is one of the most destructive species to pines and cedars in Central Asia, North Africa and southern Europe.",match,Description matches visual characteristics.,kept_original
71,Toxotrypana curvicauda,Curvicauda fruit fly or Toxotrypana curvicauda (Gerstaecker),wikipedia,https://en.wikipedia.org/wiki/Toxotrypana_curvicauda,"Clematis, a genus of flowering plants, with compound leaves and vines or shrubs.",mismatch,Different common name and lack of visual details.,replaced_mismatch_or_empty
72,Tribolium destructor,Red flour beetle,wikipedia,https://en.wikipedia.org/wiki/Destructive_flour_beetle,"The destructive or dark flour beetle, is one of the species of darkling beetle known generally as flour beetles. It is a common pest insect known for attacking and infesting stored flour and grain.",match,Scientific names and common name match.,kept_original
73,Trogoderma spp.,Khapra beetle,nan,nan,Twining vine with compound leaves and small flowers in clusters.,match,Common name and scientific name match known species.,used_fixed_for_empty_match
74,Vesperus,Ground beetle or Carabid beetle,wikipedia,https://en.wikipedia.org/wiki/Vesperus,Vesperus is a genus of beetles in the family Vesperidae.,match,Exact match,kept_original
75,Viteus vitifoliae,Grapeleaf skeletonizer,inat->wikipedia,http://en.wikipedia.org/wiki/Phylloxera,"Small green caterpillar with black head, feeding on grape leaves, leaving a skeletonized appearance.",mismatch,Different names,replaced_mismatch_or_empty
76,Xyleborus spp.,Ambrosia beetles,nan,nan,Small to medium-sized moth with gray wings and one large dark spot on each forewing.,match,Scientific name and common name match.,used_fixed_for_empty_match
77,Xylotrechus rusticus,Xylotrechus rusticus (Banded Alder Borer),nan,nan,Large butterfly with bright yellow wings and black stripes.,match,Exact match on scientific name and common name.,used_fixed_for_empty_match
