id,scientific_name,common_name,source,url,short_description
14,Ceratitis,Mediterranean fruit fly,wikipedia,https://en.wikipedia.org/wiki/Ceratitis,"Ceratitis is a genus of tephritid fruit flies with about 80 species. One of the best known species is Ceratitis capitata, the Mediterranean fruit fly."
15,Ceroplastes rusci,Fig wax scale,,,
16,Chionaspis pinifoliae,Pine needle scale,wikipedia,https://en.wikipedia.org/wiki/Chionaspis_pinifoliae,"Chionaspis pinifoliae, the pine needle scale insect, is a common species of scale insect found on pine, spruce and other conifers across Canada and throughout the United States. The species is particularly persistent on planted spruce in the Prairie Provinces in both rural and urban settings. In heavy populations, the needles may appear to be flecked with white. The insect overwinters in the egg stage under the white covering of the scale. In Saskatchewan, hatching dates vary from late May to late June. In the Mid-Atlantic region of the United States there can be one or two generations per year and the first generation hatches after an average of 210 growing degree-days. The newly hatched “crawlers” disperse, settle on old or new needles and begin scale development."
17,Choristoneura fumiferana,Eastern spruce budworm,wikipedia,https://en.wikipedia.org/wiki/Choristoneura_fumiferana,"Choristoneura fumiferana, the eastern spruce budworm, is a species of moth of the family Tortricidae native to the eastern United States and Canada. The caterpillars feed on the needles of spruce and fir trees. Eastern spruce budworm populations can experience significant oscillations, with large outbreaks sometimes resulting in wide scale tree mortality. The first recorded outbreaks of the spruce budworm in the United States occurred in about 1807, and since 1909 there have been waves of budworm outbreaks throughout the eastern United States and Canada. In Canada, the major outbreaks occurred in periods circa 1910–20, c. 1940–50, and c. 1970–80, each of which impacted millions of hectares of forest. Longer-term tree-ring studies suggest that spruce budworm outbreaks have been recurring approximately every three decades since the 16th century, and paleoecological studies suggest the spruce budworm has been breaking out in eastern North America for thousands of years."
18,Conotrachelus,True weevils,wikipedia,https://en.wikipedia.org/wiki/Conotrachelus,"Conotrachelus is a genus of true weevils in the family Curculionidae. It is a very large genus with well over 1,000 species, several of which are pests of fruit crops. Found from Canada to Argentina."
19,Contarinia sorghicola,Sorghum midge,wikipedia,https://en.wikipedia.org/wiki/Stenodiplosis_sorghicola,"Stenodiplosis sorghicola, the sorghum midge, is a species of gall midge in the family Cecidomyiidae. It is a pest of millets. The species is native to Africa and is also found in India. During the rainy season, it feeds on the developing grains of pearl millet plants."
20,Coptotermes spp.,Termites (some species),,,
21,Cryptophlebia leucotreta,False codling moth (FCM),,,
22,Cryptorrhynchus lapathi,"Poplar and willow borer, osier weevil, willow weevil",,,
23,Ctenopseustis obliquana,"Brownheaded leafroller, blackheaded leafroller",wikipedia,https://en.wikipedia.org/wiki/Ctenopseustis_obliquana,"Ctenopseustis obliquana, the brownheaded leafroller, is a moth of the family Tortricidae. This species was first described by Francis Walker in 1863. It is indigenous to New Zealand and is a possible introduced species in Hawaii."
24,Curculio elephas,"Chestnut weevil, European chestnut weevil, chestnut beetle",wikipedia,https://en.wikipedia.org/wiki/Curculio_elephas,"Curculio elephas is a species of beetle in the family Curculionidae, the true weevils. It is known commonly as the chestnut weevil. It is a serious pest of chestnut in Europe."
25,Deudorix isocrates,Common guava blue,wikipedia,https://en.wikipedia.org/wiki/Deudorix_isocrates,"Deudorix isocrates, the common guava blue, is a butterfly in the family Lycaenidae. It was described by Johan Christian Fabricius in 1793. It is found in India, Sri Lanka and Indochina in the Indomalayan realm. Other common names include pomegranate butterfly, and anar butterfly."
26,Diabrotica,Cucumber beetle or corn rootworm,wikipedia,https://en.wikipedia.org/wiki/Diabrotica,"Diabrotica is a large, widespread genus of beetles in the family Chrysomelidae. Members of this genus include several destructive agricultural pest species, sometimes referred to as corn rootworms."
27,Diaphania nitidalis,Pickleworm,wikipedia,https://en.wikipedia.org/wiki/Diaphania_nitidalis,"Diaphania nitidalis, the pickleworm, is a serious agricultural pest insect in the family Crambidae. It damages squash primarily, but it is also a common pest of other cucurbits such as cucumbers and melons. It is a tropical species which can be found in the southern United States. In the southern United States, earlier plants are less affected compared to later plantings. It does not tolerate cold temperatures. The species was first described by Caspar Stoll in 1781."
28,Diaprepes abbreviata,Diaprepes root weevil or citrus weevil,,,
29,Diatraea saccharalis,Sugarcane borer or sugarcane stalk borer,wikipedia,https://en.wikipedia.org/wiki/Diatraea_saccharalis,"Diatraea saccharalis, the sugarcane borer, is a species of moth of the family Crambidae. It was described by Johan Christian Fabricius in 1794. It is native to the Caribbean, Central America, and the warmer parts of South America south to northern Argentina. It was introduced to Louisiana in about 1855, and has since spread to the other Gulf Coast states."
30,Dryocoetes confusus,Western balsam bark beetle,,,
31,Eriosoma lanigerum,Woolly aphid,wikipedia,https://en.wikipedia.org/wiki/Eriosoma_lanigerum,"Eriosoma lanigerum, the woolly apple aphid, woolly aphid or American blight, is an aphid in the superfamily Aphidoidea in the order Hemiptera. It is a true bug and sucks sap from plants."
32,Eulecanium gigantea,Eulecanium gigantea,,,
33,Gonipterus scutellatus,Eucalyptus snout beetle,wikipedia,https://en.wikipedia.org/wiki/Gonipterus_scutellatus,"Gonipterus scutellatus is a species of weevil in the family Curculionidae. It is commonly known as the eucalyptus snout beetle, the eucalyptus weevil or the gum tree weevil. It feeds and breeds on Eucalyptus trees and is endemic to Australia."
34,Helicoverpa zea,Corn earworm,wikipedia,https://en.wikipedia.org/wiki/Helicoverpa_zea,"Helicoverpa zea, commonly known as the corn earworm, is a species in the family Noctuidae. The larva of the moth Helicoverpa zea is a major agricultural pest. Since it is polyphagous during the larval stage, the species has been given many different common names, including the cotton bollworm and the tomato fruitworm. It also consumes a wide variety of other crops."
35,Hemerocampa leucostigma,Whitemarked tussock moth,wikipedia,https://en.wikipedia.org/wiki/Orgyia_leucostigma,"Orgyia leucostigma, the white-marked tussock moth, is a moth in the family Erebidae. The species was first described by James Edward Smith in 1797. The caterpillar is very common especially in late summer in eastern North America, extending as far west as Texas, California, and Alberta."
36,Hoplocerambyx spinicornis,Sal borer,,,
37,Hylobius pales,Pales weevil,wikipedia,https://en.wikipedia.org/wiki/Hylobius_pales,"Hylobius pales, the pales weevil, is a species of pine weevil in the beetle family Curculionidae. It is found in North America."
38,Hylotrupes bajulus,House longhorn beetle,wikipedia,https://en.wikipedia.org/wiki/Hylotrupes,"Hylotrupes is a monotypic genus of woodboring beetles in the family Cerambycidae, the longhorn beetles. The sole species, Hylotrupes bajulus, is known by several common names, including house longhorn beetle, old house borer, and European house borer. In South Africa it also is known as the Italian beetle because of infested packing cases that had come from Italy. Hylotrupes is the only genus in the tribe Hylotrupini."
39,Hylurgus ligniperda,Red-haired pine bark beetle,,,
40,Hyphantria cunea,Fall webworm,wikipedia,https://en.wikipedia.org/wiki/Fall_webworm,"The fall webworm is a moth in the family Erebidae known principally for its larval stage, which creates the characteristic webbed nests on the tree limbs of a wide variety of hardwoods in the late summer and fall. It is considered a pest but does not harm otherwise healthy trees. It is well known to commercial tree services and arboriculturists. Fall webworms are an invasive species in East Asia."
41,Incisitermes minor,Western drywood termite,wikipedia,https://en.wikipedia.org/wiki/Incisitermes_minor,"Incisitermes minor is a species of termite in the family Kalotermitidae known commonly as the western drywood termite. It is native to western North America, including the western United States and northern Mexico. It has been found in many other parts of the United States, all the way to the East Coast. It has been reported from Toronto. It has been introduced to Hawaii. It has been noted in China and it is not uncommon in Japan. This is an economically important pest of wooden structures, including houses. In California and Arizona alone its economic impact is estimated to be about $250 million per year."
42,Leptinotarsa decemlineata,Colorado potato beetle,wikipedia,https://en.wikipedia.org/wiki/Colorado_potato_beetle,"The Colorado potato beetle is a beetle known for being a major pest of potato crops. It is about 10 mm long, with a bright yellow/orange body and five bold brown stripes along the length of each of its wings. Native to the Rocky Mountains, it spread rapidly in potato crops across the United States and then Europe from 1859 onwards."
43,Liriomyza trifolii,American serpentine leafminer or celery leafminer,wikipedia,https://en.wikipedia.org/wiki/Liriomyza_trifolii,"Liriomyza trifolii, known generally as the American serpentine leafminer or celery leafminer, is a species of leaf miner fly in the family Agromyzidae."
44,Lissorhoptrus oryzophilus,Rice water weevil,wikipedia,https://en.wikipedia.org/wiki/Lissorhoptrus_oryzophilus,"Lissorhoptrus oryzophilus is an insect belonging to the order Coleoptera. It is native to North America, mostly in the southeastern part of the country, but has been established in California for over 50 years. A separate species of rice water weevil, Lissorhoptrus brevirostris is present in Cuba, Dominican Republic, Colombia, Suriname and Venezuela. Lissorhoptrus oryzophilus began spreading through the rice growing regions of Asia in 1976 ; in Europe it has been present in Italy since 2004, in the regions of the Piedmont and Lombardy where it affects upland rice production"
45,Listronotus bonariensis,Argentine stem weevil or wheat weevil,wikipedia,https://en.wikipedia.org/wiki/Listronotus_bonariensis,"Listronotus bonariensis is a species of weevil that is native to South America and is commonly known as the Argentine stem weevil. It is a pest of grasses and cereals, with the larvae being more destructive than the adult insects. It has spread to Australia and New Zealand, where it is regarded as a pest species."
46,Lobesia botrana,European grapevine moth or European grape worm,wikipedia,https://en.wikipedia.org/wiki/Lobesia_botrana,"Lobesia botrana, the European grapevine moth or European grape worm, is a moth of the family Tortricidae."
47,Monochamus spp.,Sawyer beetles or sawyers1,,,
48,Naupactus leucoloma,Whitefringed beetle,wikipedia,https://en.wikipedia.org/wiki/Naupactus_leucoloma,Naupactus leucoloma is a species of broad-nosed weevil in the beetle family Curculionidae.
49,Neoclytus acuminatus,Red-headed ash borer,wikipedia,https://en.wikipedia.org/wiki/Neoclytus_acuminatus,"Neoclytus acuminatus, the red-headed ash borer, is a common North American species in the longhorn beetle family (Cerambycidae)."
50,Opogona sacchari,Banana moth,wikipedia,https://en.wikipedia.org/wiki/Opogona_sacchari,"Opogona sacchari, the banana moth, is a moth of the family Tineidae. The species was first described by Wenceslas Bojer in 1856. It is native to the humid tropical and subtropical regions of sub-Saharan Africa, where it is also found in Madagascar, Mauritius, Réunion, Rodrigues Island, the Seychelles and St. Helena. It was first reported from the Canary Islands in the 1920s. In the 1970s, it was introduced into Brazil and Central America, and also appeared in Europe. It has been reported from Florida since 1986."
51,Pantomorus cervinus,Fuller’s rose beetle,,,
52,Pharaxonotha kirschi,Mexican grain beetle or pleasing fungus beetle,inat->wikipedia,http://en.wikipedia.org/wiki/Pharaxonotha_kirschii,"Pharaxonotha kirschii is a species of pleasing fungus beetle in the family Erotylidae. It is found in Europe and Northern Asia, Central America, and North America."
53,Phoracantha semipunctata,Australian Eucalyptus longhorn or eucalyptus longhorned borer,wikipedia,https://en.wikipedia.org/wiki/Phoracantha_semipunctata,"Phoracantha semipunctata, the Australian Eucalyptus longhorn, is a species of beetle in the family Cerambycidae. Native to Australia, it has now spread to many parts of the world, including practically all countries where tree species of Eucalyptus have been introduced. It has been classified as an invasive pest species of Eucalyptus outside Australia."
54,Pissodes,Weevils,wikipedia,https://en.wikipedia.org/wiki/Pissodes,Pissodes is a genus of weevils described by Ernst Friedrich Germar in 1817.
55,Planococ,Planococcus minor,inat->wikipedia,https://en.wikipedia.org/wiki/Planococcus,"Planococcus may refer to:Planococcus (bug), a genus of bugs in the family Pseudococcidae Planococcus (bacterium), a genus of bacteria in the family Planococcaceae"
56,Planococcus lilacius,Lilac mealybug,,,
57,Popillia japonica,Japanese beetle,wikipedia,https://en.wikipedia.org/wiki/Japanese_beetle,"The Japanese beetle is a species of scarab beetle. Due to the presence of natural predators, the Japanese beetle is not considered a pest in its native Japan, but in North America and some regions of Europe, it is a noted pest to roughly 300 species of plants. Some of these plants include roses, grapes, hops, canna, crape myrtles, birch trees, linden trees, and others."
58,Prays citri,Citrus blossom moth or Citrus young fruit borer,,,
59,Ptinus tectus,Australian Spider Beetle,wikipedia,https://en.wikipedia.org/wiki/Ptinus_tectus,"Ptinus tectus, often called the Australian spider beetle, is a species of beetle in the family Ptinidae, or family Anobiidae, subfamily Ptininae. It is a cosmopolitan species. It is a pest of stored foods and museum specimens."
60,Reticulitermes lucifugus,Reticulitermes lucifugus,wikipedia,https://en.wikipedia.org/wiki/Reticulitermes_lucifugus,"Reticulitermes lucifugus is classified as a species of termite in the genus Reticulitermes. Its diet consists mainly of rotten timber and logs. It is found in the Provence region, Italy, and the Broadleaf woodlands of North America."
61,Rhagoletis spp.,Rhagoletis spp.,,,
62,Saperda spp.,Saperda spp.,,,
63,Scyphophorus acupunctatus,Scyphophorus acupunctatus,wikipedia,https://en.wikipedia.org/wiki/Scyphophorus_acupunctatus,"Scyphophorus acupunctatus, the sisal weevil or agave weevil, is a species of polyphaga beetle of the family of the Curculionidae. Sisal weevil larvae, known as picudo del agave or ""nixtamal worms"", are a traditional food in parts of Mexico."
64,Sirex noctilio,Sirex woodwasp,wikipedia,https://en.wikipedia.org/wiki/Sirex_noctilio,"Sirex noctilio, known as the Midnight woodwasp, European woodwasp, European horntail woodwasp, or sirex woodwasp, is a species of woodwasp, native to Europe, Asia, and northern Africa. Adults vary in length from 9 to 36 mm."
65,Solenopsis invicta,Red imported fire ant,wikipedia,https://en.wikipedia.org/wiki/Red_imported_fire_ant,"Solenopsis invicta, the fire ant, or red imported fire ant (RIFA), is a species of ant native to South America. A member of the genus Solenopsis in the subfamily Myrmicinae, it was described by Swiss entomologist Felix Santschi as a variant of S. saevissima in 1916. Its current specific name invicta was given to the ant in 1972 as a separate species. However, the variant and species were the same ant, and the name was preserved due to its wide use. Though South American in origin, the red imported fire ant has been accidentally introduced in Australia, New Zealand, several Asian and Caribbean countries, Europe and the United States. The red imported fire ant is polymorphic, as workers appear in different shapes and sizes. The ant's colours are red and somewhat yellowish with a brown or black gaster, but males are completely black. Red imported fire ants are dominant in altered areas and live in a wide variety of habitats. They can be found in rainforests, disturbed areas, deserts, grasslands, alongside roads and buildings, and in electrical equipment. Colonies form large mounds constructed from soil with no visible entrances because foraging tunnels are built and workers emerge…"
66,Spodoptera littoralis,Egyptian cotton leafworm moth or Mediterranean Brocade moth,wikipedia,https://en.wikipedia.org/wiki/Spodoptera_littoralis,"Spodoptera littoralis, also referred to as the African cotton leafworm or Egyptian cotton leafworm or Mediterranean brocade, is a species of moth in the family Noctuidae. S. littoralis is found widely in Africa, Mediterranean Europe and Middle Eastern countries. It is a highly polyphagous organism that is a pest of many cultivated plants and crops. As a result, this species was assigned the label of A2 quarantine pest by the EPPO and was cautioned as a highly invasive species in the United States. The devastating impacts caused by these pests have led to the development of both biological and chemical control methods. This moth is often confused with Spodoptera litura."
67,Stathmopoda skelloni,Skellon’s stathmopodid moth,wikipedia,https://en.wikipedia.org/wiki/Stathmopoda_skelloni,"Stathmopoda skelloni, the yellow featherfoot, is a species of moth in the Stathmopodidae family. It is endemic to New Zealand and can be found throughout the country. This species inhabits native forest, coastal dunes and shrubland as well as cultivated gardens and orchards. The larvae of this species feed on a variety of plant species including agricultural crops such as kiwifruit and persimmons. The adult moths are on the wing from September until March and are nocturnal but are attracted to light."
68,Taeniothrips inconsequens,Western flower thrips or Onion thrips,,,
69,Tetropium spp.,Tetropium spp.,,,
70,Thaumetopoea pityocampa,Pine processionary moth or Thaumetopoea pityocampa (TPM),wikipedia,https://en.wikipedia.org/wiki/Pine_processionary,"The pine processionary is a moth of the subfamily Thaumetopoeinae in the family Notodontidae, known for the irritating hairs of its caterpillars, their processions, and the economic damage they cause in coniferous forests. The species was first described scientifically by Michael Denis and Ignaz Schiffermüller in 1775, though it was known to the ancients, with remedies described by Theophrastus, Dioscorides and Pliny the Elder. Its processionary behaviour was described in 1916 by the French entomologist Jean-Henri Fabre. It is one of the most destructive species to pines and cedars in Central Asia, North Africa and southern Europe."
71,Toxotrypana curvicauda,Curvicauda fruit fly or Toxotrypana curvicauda (Gerstaecker),wikipedia,https://en.wikipedia.org/wiki/Toxotrypana_curvicauda,"Toxotrypana curvicauda, the papaya fruit fly, is a species of fruit fly in the family Tephritidae."
72,Tribolium destructor,Red flour beetle,wikipedia,https://en.wikipedia.org/wiki/Destructive_flour_beetle,"The destructive or dark flour beetle, is one of the species of darkling beetle known generally as flour beetles. It is a common pest insect known for attacking and infesting stored flour and grain."
73,Trogoderma spp.,Khapra beetle,,,
74,Vesperus,Ground beetle or Carabid beetle,wikipedia,https://en.wikipedia.org/wiki/Vesperus,Vesperus is a genus of beetles in the family Vesperidae.
75,Viteus vitifoliae,Grapeleaf skeletonizer,inat->wikipedia,http://en.wikipedia.org/wiki/Phylloxera,"Grape phylloxera is an insect pest of grapevines worldwide, originally native to eastern North America. Grape phylloxera ; originally described in France as Phylloxera vastatrix; equated to the previously described Daktulosphaera vitifoliae, Phylloxera vitifoliae. The insect is commonly just called phylloxera."
76,Xyleborus spp.,Ambrosia beetles,,,
77,Xylotrechus rusticus,Xylotrechus rusticus (Banded Alder Borer),,,
