id,scientific_name,most_common_name,source,status,reason,short_description,facts_text,final_text,url_used
10,Poeciliopsis fasciata,poeciliopsis fasciata,fishbase,OK,,,"max length: 5
environment: milieu / climate zone / depth range / distribution range
depth: 7","max length: 5
environment: milieu / climate zone / depth range / distribution range
depth: 7",https://fishbase.se/summary/Poeciliopsis-fasciata
11,Myripristis pralinia,myripristis pralinia,fishbase,OK,,Dorsal spines (total): 11; Dorsal soft rays (total): 14 - 17; Anal spines : 4; Anal soft rays : 13 - 15. Scarlet in color; no pigment on median fins but may have a small black spot at base of soft dorsal fin and some dusky pigment at leading edges of median fins . Scales small . Body shape ( shape guide ): fusiform / normal; Cross section: compressed,"max length: 20
environment: milieu / climate zone / depth range / distribution range
depth: East Africa to the Marquesas and Mangaréva Islands, north to Ryukyu Islands, south to New Caledonia
body: fusiform / normal",Dorsal spines (total): 11; Dorsal soft rays (total): 14 - 17; Anal spines : 4; Anal soft rays : 13 - 15. Scarlet in color; no pigment on median fins but may have a small black spot at base of soft dorsal fin and some dusky pigment at leading edges of median fins . Scales small . Body shape ( shape guide ): fusiform / normal; Cross section: compressed,https://fishbase.se/summary/Myripristis-pralinia
12,Carasobarbus fritschii,carasobarbus fritschii,fishbase,OK,,"Dorsal spines (total): 0; Dorsal soft rays (total): 11 - 14; Anal spines : 0; Anal soft rays : 8 - 9. Diagnosis: Two pairs of barbels, 30-39 scales in the lateral line and 14-20 scales around the least circumference of the caudal peduncle; dorsal fin usually shorter than anal fin and more than 15% of its last unbranched ray flexible, dorsal profile of the head convex . Body shape ( shape guide ): fusiform / normal","max length: 18
environment: milieu / climate zone / depth range / distribution range
depth: coastal rivers in northern and central Morocco (
body: fusiform / normal","Dorsal spines (total): 0; Dorsal soft rays (total): 11 - 14; Anal spines : 0; Anal soft rays : 8 - 9. Diagnosis: Two pairs of barbels, 30-39 scales in the lateral line and 14-20 scales around the least circumference of the caudal peduncle; dorsal fin usually shorter than anal fin and more than 15% of its last unbranched ray flexible, dorsal profile of the head convex . Body shape ( shape guide ): fusiform / normal",https://fishbase.se/summary/Carasobarbus-fritschii
13,Priacanthus hamrur,priacanthus hamrur,fishbase,OK,,"Dorsal spines (total): 10; Dorsal soft rays (total): 13 - 15; Anal spines : 3; Anal soft rays : 13 - 16. This species is distinguished by the following characters: body depth 2.5-2.9 in SL; poorly developed preopercular spine, reduced or inconspicuous to non-existent in adults (> 12.5 cm TL); total gill rakers in first gill arch 24-26; soft portion of dorsal fin taller than spinous portion, angular posteriorly; pectoral fins shorter than pelvic spine; pelvic fins long, reaching posterior to spinous portion of anal fin; distinctly emarginate caudal fin; scales modified, the posterior field elevated as a separate flange with spinules both on surface and posterior margin; vertical scale rows (dorsal-fin origin to anus) 48-57; swimbladder with pair of anterior and posterior protrusions. Colour of body entirely red or capable of quickly changing to silvery with about 6 red bars or large spots on upper side (dusky spots evident on dorsal and anal fin in blotchy or barred fish); membranes of caudal and pelvic fins blackish distally . Body shape ( shape guide ): short and / or deep; Cross section: compressed","max length: 45
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea and southern Africa to French Polynesia, north to southern Japan, south to Australia
body: short and / or deep","Dorsal spines (total): 10; Dorsal soft rays (total): 13 - 15; Anal spines : 3; Anal soft rays : 13 - 16. This species is distinguished by the following characters: body depth 2.5-2.9 in SL; poorly developed preopercular spine, reduced or inconspicuous to non-existent in adults (> 12.5 cm TL); total gill rakers in first gill arch 24-26; soft portion of dorsal fin taller than spinous portion, angular posteriorly; pectoral fins shorter than pelvic spine; pelvic fins long, reaching posterior to spinous portion of anal fin; distinctly emarginate caudal fin; scales modified, the posterior field elevated as a separate flange with spinules both on surface and posterior margin; vertical scale rows (dorsal-fin origin to anus) 48-57; swimbladder with pair of anterior and posterior protrusions. Colour of body entirely red or capable of quickly changing to silvery with about 6 red bars or large spots on upper side (dusky spots evident on dorsal and anal fin in blotchy or barred fish); membranes of caudal and pelvic fins blackish distally . Body shape ( shape guide ): short and / or deep; Cross section: compressed",https://fishbase.se/summary/Priacanthus-hamrur
14,Dascyllus aruanus,dascyllus aruanus,fishbase,OK,,"Dorsal spines (total): 12; Dorsal soft rays (total): 11 - 13; Anal spines : 2; Anal soft rays : 11 - 13. Color in life white with 3 black bars; a large brown spot on dorsal part of snout and interorbital; lips dusky or white; caudal fin pale; pelvic fins black; pectorals transparent. Margins of preorbital, suborbital, and preoperculum finely serrated . Body depth 1.5-1.7 in SL . Body shape ( shape guide ): short and / or deep; Cross section: compressed","max length: 10
environment: milieu / climate zone / depth range / distribution range
depth: region north and east of Lombok Strait to Line, Marquesan and Tuamoto islands, north to southern Japan, south to New Caledonia
body: short and / or deep","Dorsal spines (total): 12; Dorsal soft rays (total): 11 - 13; Anal spines : 2; Anal soft rays : 11 - 13. Color in life white with 3 black bars; a large brown spot on dorsal part of snout and interorbital; lips dusky or white; caudal fin pale; pelvic fins black; pectorals transparent. Margins of preorbital, suborbital, and preoperculum finely serrated . Body depth 1.5-1.7 in SL . Body shape ( shape guide ): short and / or deep; Cross section: compressed",https://fishbase.se/summary/Dascyllus-aruanus
15,Omobranchus obliquus,omobranchus obliquus,fishbase,OK,,Dorsal spines (total): 11 - 13; Dorsal soft rays (total): 18 - 21; Anal spines : 2; Anal soft rays : 20 - 23. Body shape ( shape guide ): fusiform / normal,"max length: 5
environment: milieu / climate zone / depth range / distribution range
depth: Nicobar Islands to Samoa
body: fusiform / normal",Dorsal spines (total): 11 - 13; Dorsal soft rays (total): 18 - 21; Anal spines : 2; Anal soft rays : 20 - 23. Body shape ( shape guide ): fusiform / normal,https://fishbase.se/summary/Omobranchus-obliquus
16,Epinephelus undulosus,epinephelus undulosus,fishbase,OK,,"Dorsal spines (total): 11; Dorsal soft rays (total): 17 - 19; Anal spines : 3; Anal soft rays : 8. Distinguished by the following characteristics: head, body and fins purplish grey to brownish grey; head with brown to golden brown dots and wavy longitudinal lines of the same colour on the dorsal part of the body (lines faint of absent on large specimens); narrowly blackish margin of spinous dorsal fin; body depth contained 2.7-3.1 times in SL; head length 2.5-2.7 times in SL; convex interorbital area; angular preopercle, notch above angle and enlarged serrae at angle; straight or slightly concave upper edge of operculum; subequal posterior and anterior nostrils or slightly larger posterior nostril; maxilla reaches to vertical at rear edge of eye; ventral edge of maxilla in adults with prominent knob or hook-like process; 2 rows of teeth on midlateral part of lower jaw . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 120 cm TL male/unsexed
environment: milieu / climate zone / depth range / distribution range
depth: Gulf of Oman to Kenya, including Laccadive Islands, India, Sri Lanka, and the Andaman Islands
body: fusiform / normal","Dorsal spines (total): 11; Dorsal soft rays (total): 17 - 19; Anal spines : 3; Anal soft rays : 8. Distinguished by the following characteristics: head, body and fins purplish grey to brownish grey; head with brown to golden brown dots and wavy longitudinal lines of the same colour on the dorsal part of the body (lines faint of absent on large specimens); narrowly blackish margin of spinous dorsal fin; body depth contained 2.7-3.1 times in SL; head length 2.5-2.7 times in SL; convex interorbital area; angular preopercle, notch above angle and enlarged serrae at angle; straight or slightly concave upper edge of operculum; subequal posterior and anterior nostrils or slightly larger posterior nostril; maxilla reaches to vertical at rear edge of eye; ventral edge of maxilla in adults with prominent knob or hook-like process; 2 rows of teeth on midlateral part of lower jaw . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Epinephelus-undulosus
17,Pseudorhombus arsius,pseudorhombus arsius,fishbase,OK,,"Dorsal spines (total): 0; Dorsal soft rays (total): 71 - 84; Anal spines : 0; Anal soft rays : 53 - 62; Vertebrae : 36. Some pairs of moderately large canines in anterior part of both jaws, 6 to 13 lateral teeth in lower jaw, stronger and more widely spaced than those of upper jaw. Gill rakers pointed, longer than broad. Soft ray count of pectoral fin refers to that on ocular side . Body shape ( shape guide ): short and / or deep","max length: 45
environment: milieu / climate zone / depth range / distribution range
depth: Persian Gulf and east coast of Africa (south to Algoa Bay and perhaps to Knysna, South Africa) to Fiji, north to southern Japan, south to the northern coast of Australia
body: short and / or deep","Dorsal spines (total): 0; Dorsal soft rays (total): 71 - 84; Anal spines : 0; Anal soft rays : 53 - 62; Vertebrae : 36. Some pairs of moderately large canines in anterior part of both jaws, 6 to 13 lateral teeth in lower jaw, stronger and more widely spaced than those of upper jaw. Gill rakers pointed, longer than broad. Soft ray count of pectoral fin refers to that on ocular side . Body shape ( shape guide ): short and / or deep",https://fishbase.se/summary/Pseudorhombus-arsius
18,Ostorhinchus fasciatus,ostorhinchus fasciatus,fishbase,OK,,"Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines : 2; Anal soft rays : 8. Characterized by having generally white to dusky pinkish body color; 3-4 dark stripes on upper half of body; presence of broad, uniform midlateral stripe continued to caudal fin; narrower stripe above eye to upper caudal peduncle; base of dorsal fin to upper caudal peduncle with thin stripe; incomplete diffuse stripe above midlateral strip; greatest depth of body 2.6-2.7 in SL . Body shape ( shape guide ): short and / or deep; Cross section: compressed","max length: 12
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea and Persian Gulf south to Mozambique and east to the western Pacific where it ranges from Japan to Sydney (
body: short and / or deep","Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines : 2; Anal soft rays : 8. Characterized by having generally white to dusky pinkish body color; 3-4 dark stripes on upper half of body; presence of broad, uniform midlateral stripe continued to caudal fin; narrower stripe above eye to upper caudal peduncle; base of dorsal fin to upper caudal peduncle with thin stripe; incomplete diffuse stripe above midlateral strip; greatest depth of body 2.6-2.7 in SL . Body shape ( shape guide ): short and / or deep; Cross section: compressed",https://fishbase.se/summary/Ostorhinchus-fasciatus
19,Plectorhinchus cinctus,plectorhinchus cinctus,fishbase,OK,,,"max length: 60
environment: milieu / climate zone / depth range / distribution range
depth: Arabian Sea to southern Japan
body: 3","max length: 60
environment: milieu / climate zone / depth range / distribution range
depth: Arabian Sea to southern Japan
body: 3",https://fishbase.se/summary/Plectorhinchus-cinctus
20,Halichoeres argus,halichoeres argus,fishbase,OK,,"Dorsal spines (total): 9; Dorsal soft rays (total): 11 - 12; Anal spines : 3; Anal soft rays : 11 - 12; Vertebrae : 25. Young green when in seagrasses and greenish brown on reefs. Recognized by the unusual color patterns on the cheek or the black spotted scales over the back . Preserved male specimens with pale spots on scales; dark spot behind eye (continuous with a bifurcating dark band which extends ventrally); another on opercle; a dark band on snout from upper lip to eye; head with bands; spot on upper caudal base may be present or absent (present in females). Anterior lateral line scales with 1-3 pores (usually 2); 5-6 suborbital pores. Anterior dorsal and anal soft rays longer than posterior rays; pelvic fins of males relatively short, not reaching anus. Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 12
environment: milieu / climate zone / depth range / distribution range
depth: Sri Lanka to Fiji (
body: fusiform / normal","Dorsal spines (total): 9; Dorsal soft rays (total): 11 - 12; Anal spines : 3; Anal soft rays : 11 - 12; Vertebrae : 25. Young green when in seagrasses and greenish brown on reefs. Recognized by the unusual color patterns on the cheek or the black spotted scales over the back . Preserved male specimens with pale spots on scales; dark spot behind eye (continuous with a bifurcating dark band which extends ventrally); another on opercle; a dark band on snout from upper lip to eye; head with bands; spot on upper caudal base may be present or absent (present in females). Anterior lateral line scales with 1-3 pores (usually 2); 5-6 suborbital pores. Anterior dorsal and anal soft rays longer than posterior rays; pelvic fins of males relatively short, not reaching anus. Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Halichoeres-argus
21,Nectamia fusca,nectamia fusca,fishbase,OK,,Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines : 2; Anal soft rays : 8. Body shape ( shape guide ): short and / or deep; Cross section: compressed,"max length: 11
environment: milieu / climate zone / depth range / distribution range
depth: known from the Red Sea, Indian Ocean (except the Seychelles, Chagos Archipelago, Cargados Carajos, Mauritius and Rodrigues), north to Japan and south to Australia
body: short and / or deep",Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines : 2; Anal soft rays : 8. Body shape ( shape guide ): short and / or deep; Cross section: compressed,https://fishbase.se/summary/Nectamia-fusca
